MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21810136,530000.0,85737,-110.969863,32.381589,0.4,5624.76,1997,2,2.0,2875.0,2.0,11,1.0,2,45.0
21802448,560000.0,85749,-110.74477,32.261215,1.01,5321.5,2004,4,3.0,3067.0,3.0,10,2.0,2,45.0
21812379,552500.0,85749,-110.781082,32.254081,1.0,4076.0,1984,4,4.0,3740.0,2.0,8,4.0,3,45.0
21812993,553500.0,85750,-110.869289,32.286358,0.98,3476.97,1987,4,3.0,2513.0,2.0,9,2.0,2,45.0
21813601,565000.0,85718,-110.954196,32.302157,1.14,4340.3,1969,4,3.0,2848.0,2.0,8,1.0,1,45.0
21821918,540000.0,85750,-110.852074,32.314056,1.01,5398.22,1986,3,3.0,2892.0,2.0,7,1.0,4,45.0
21815794,542500.0,85750,-110.817282,32.265647,0.86,2865.9,1969,4,3.0,3012.0,2.0,11,1.0,2,45.0
21820963,500000.0,85745,-111.0518,32.304654,5.67,3047.87,2017,4,4.0,3577.0,3.0,11,0.0,2,45.0
21823811,555000.0,85704,-110.997468,32.363504,1.33,5499.13,1998,4,3.0,3189.0,3.0,8,1.0,2,45.0
21804019,480000.0,85742,-111.0638,32.408082,1.1,1355.0,2018,4,3.0,3082.0,3.0,10,0.0,2,45.0
21901015,565000.0,85629,-110.99967,31.934289,1.09,4375.31,2006,4,3.0,2507.0,4.0,12,1.0,1,45.0
21900133,555000.0,85705,-110.966926,32.230629,0.18,2299.26,1910,2,2.0,2257.0,0.0,4,1.0,2,45.0
21900786,552000.0,85749,-110.800001,32.29958,1.6,4754.29,1979,3,3.0,3139.0,2.0,8,2.0,1,45.0
21823744,542000.0,85614,-110.964024,31.859061,0.43,4249.94,2005,3,3.0,2856.0,3.0,10,1.0,2,45.0
21902036,535000.0,85750,-110.835789,32.27356,0.37,6255.85,1994,4,4.0,4110.0,3.0,11,1.0,2,45.0
21830183,535000.0,85630,-110.064182,31.915932,36.0,3896.96,1998,4,3.0,3165.0,3.0,10,1.0,2,45.0
3053192,540000.0,85614,-110.970464,31.837728,2.08,5077.95,2007,4,3.0,3512.0,3.0,12,2.0,2,45.0
3055336,510000.0,85646,-111.091642,31.582936,7.0,4405.7,1995,3,3.0,3512.0,2.0,13,2.0,2,45.0
21909400,535000.0,85718,-110.945829,32.292671,0.84,4175.42,1958,3,3.0,2746.0,2.0,9,1.0,2,45.0
4115078,510000.0,85646,-111.089785,31.583593,7.0,4235.3,1995,3,2.5,2765.0,2.0,11,2.0,1,45.0
21821286,550000.0,85658,-111.052571,32.426873,0.77,7726.46,2014,4,4.0,3013.0,3.0,12,0.0,2,45.0
21514869,542000.0,85737,-111.010473,32.414633,0.64,6773.11,2003,5,4.0,4316.0,4.0,2,1.0,2,45.0
21828307,535000.0,85629,-110.967697,31.970713,0.36,4587.25,2006,4,4.0,3195.0,4.0,10,1.0,3,45.0
21402403,525000.0,85737,-110.942747,32.4147,0.93,5138.21,1997,4,3.0,2520.0,3.0,5,1.0,2,45.0
21600027,547000.0,85750,-110.849256,32.313175,0.3,4100.82,1996,4,3.0,2651.0,3.0,5,0.0,2,45.0
21802889,540000.0,85718,-110.875907,32.319833,0.71,6281.0,1992,4,4.0,3155.0,3.0,6,2.0,2,45.0
21804352,553000.0,85718,-110.931223,32.294449,1.0,5431.94,1997,3,3.0,3126.0,2.0,6,1.0,2,45.0
21714436,550000.0,85755,-110.982895,32.434547,0.48,5566.45,1998,3,3.0,2620.0,3.0,2,1.0,2,45.0
